date,cases,country,var,year,month,day,_days,datetime,concentration
Feb 15,3,italy,cases,2020,2,15,0,2020-02-15,4.973677145287045e-08
Feb 16,3,italy,cases,2020,2,16,1,2020-02-16,4.973677145287045e-08
Feb 17,3,italy,cases,2020,2,17,2,2020-02-17,4.973677145287045e-08
Feb 18,3,italy,cases,2020,2,18,3,2020-02-18,4.973677145287045e-08
Feb 19,3,italy,cases,2020,2,19,4,2020-02-19,4.973677145287045e-08
Feb 20,4,italy,cases,2020,2,20,5,2020-02-20,6.631569527049393e-08
Feb 21,21,italy,cases,2020,2,21,6,2020-02-21,3.481574001700931e-07
Feb 22,79,italy,cases,2020,2,22,7,2020-02-22,1.309734981592255e-06
Feb 23,157,italy,cases,2020,2,23,8,2020-02-23,2.6028910393668867e-06
Feb 24,229,italy,cases,2020,2,24,9,2020-02-24,3.7965735542357773e-06
Feb 25,323,italy,cases,2020,2,25,10,2020-02-25,5.354992393092384e-06
Feb 26,470,italy,cases,2020,2,26,11,2020-02-26,7.792094194283037e-06
Feb 27,655,italy,cases,2020,2,27,12,2020-02-27,1.085919510054338e-05
Feb 28,889,italy,cases,2020,2,28,13,2020-02-28,1.4738663273867275e-05
Feb 29,1128,italy,cases,2020,2,29,14,2020-02-29,1.870102606627929e-05
Mar 01,1701,italy,cases,2020,3,1,15,2020-03-01,2.8200749413777543e-05
Mar 02,2036,italy,cases,2020,3,2,16,2020-03-02,3.375468889268141e-05
Mar 03,2502,italy,cases,2020,3,3,17,2020-03-03,4.1480467391693954e-05
Mar 04,3089,italy,cases,2020,3,4,18,2020-03-04,5.121229567263894e-05
Mar 05,3858,italy,cases,2020,3,5,19,2020-03-05,6.396148808839139e-05
Mar 06,4636,italy,cases,2020,3,6,20,2020-03-06,7.685989081850246e-05
Mar 07,5883,italy,cases,2020,3,7,21,2020-03-07,9.753380881907895e-05
Mar 08,7375,italy,cases,2020,3,8,22,2020-03-08,0.0001222695631549732
Mar 09,9172,italy,cases,2020,3,9,23,2020-03-09,0.00015206188925524257
Mar 10,10149,italy,cases,2020,3,10,24,2020-03-10,0.00016825949782506072
Mar 11,12462,italy,cases,2020,3,11,25,2020-03-11,0.00020660654861522383
Mar 12,15113,italy,cases,2020,3,12,26,2020-03-12,0.00025055727565574367
Mar 13,17660,italy,cases,2020,3,13,27,2020-03-13,0.0002927837946192307
Mar 14,21157,italy,cases,2020,3,14,28,2020-03-14,0.00035076029120946
Mar 15,24747,italy,cases,2020,3,15,29,2020-03-15,0.0004102786277147283
Mar 16,27980,italy,cases,2020,3,16,30,2020-03-16,0.000463878288417105
Mar 17,31506,italy,cases,2020,3,17,31,2020-03-17,0.0005223355737980454
Mar 18,35713,italy,cases,2020,3,18,32,2020-03-18,0.0005920831062987875
Mar 19,41035,italy,cases,2020,3,19,33,2020-03-19,0.0006803161388561796
Mar 20,47021,italy,cases,2020,3,20,34,2020-03-20,0.0007795575768284737
Mar 21,53578,italy,cases,2020,3,21,35,2020-03-21,0.000888265580300631
Mar 22,59138,italy,cases,2020,3,22,36,2020-03-22,0.0009804443967266175
Mar 23,63927,italy,cases,2020,3,23,37,2020-03-23,0.0010598408628892163
Mar 24,69176,italy,cases,2020,3,24,38,2020-03-24,0.001146863634007922
Mar 25,74386,italy,cases,2020,3,25,39,2020-03-25,0.0012332398270977402
Mar 26,80589,italy,cases,2020,3,26,40,2020-03-26,0.0013360788915384588
Mar 27,86498,italy,cases,2020,3,27,41,2020-03-27,0.001434043752376796
Mar 28,92472,italy,cases,2020,3,28,42,2020-03-28,0.0015330862432632786
Mar 29,97689,italy,cases,2020,3,29,43,2020-03-29,0.0016195784888198203
Mar 30,101739,italy,cases,2020,3,30,44,2020-03-30,0.0016867231302811956
Mar 31,105792,italy,cases,2020,3,31,45,2020-03-31,0.0017539175085140234
Apr 01,110574,italy,cases,2020,4,1,46,2020-04-01,0.001833197922209899
Apr 02,115242,italy,cases,2020,4,2,47,2020-04-02,0.0019105883385905653
Apr 03,119827,italy,cases,2020,4,3,48,2020-04-03,0.001986602704294369
Apr 04,124632,italy,cases,2020,4,4,49,2020-04-04,0.00206626443323805
Apr 05,128948,italy,cases,2020,4,5,50,2020-04-05,0.0021378190684349127
Apr 06,132547,italy,cases,2020,4,6,51,2020-04-06,0.00219748661525454
Apr 07,135586,italy,cases,2020,4,7,52,2020-04-07,0.0022478699647362974
Apr 08,139422,italy,cases,2020,4,8,53,2020-04-08,0.002311466716500701
Apr 09,143626,italy,cases,2020,4,9,54,2020-04-09,0.00238116451222999
Apr 10,147577,italy,cases,2020,4,10,55,2020-04-10,0.0024466678402334206
Apr 11,152271,italy,cases,2020,4,11,56,2020-04-11,0.0025244893086333454
Apr 12,156363,italy,cases,2020,4,12,57,2020-04-12,0.0025923302648950606
Feb 15,0,italy,deaths,2020,2,15,58,2020-02-15,0.0
Feb 16,0,italy,deaths,2020,2,16,59,2020-02-16,0.0
Feb 17,0,italy,deaths,2020,2,17,60,2020-02-17,0.0
Feb 18,0,italy,deaths,2020,2,18,61,2020-02-18,0.0
Feb 19,0,italy,deaths,2020,2,19,62,2020-02-19,0.0
Feb 20,0,italy,deaths,2020,2,20,63,2020-02-20,0.0
Feb 21,1,italy,deaths,2020,2,21,64,2020-02-21,1.657892381762348e-08
Feb 22,2,italy,deaths,2020,2,22,65,2020-02-22,3.315784763524696e-08
Feb 23,3,italy,deaths,2020,2,23,66,2020-02-23,4.973677145287045e-08
Feb 24,7,italy,deaths,2020,2,24,67,2020-02-24,1.1605246672336437e-07
Feb 25,11,italy,deaths,2020,2,25,68,2020-02-25,1.823681619938583e-07
Feb 26,12,italy,deaths,2020,2,26,69,2020-02-26,1.989470858114818e-07
Feb 27,17,italy,deaths,2020,2,27,70,2020-02-27,2.818417048995992e-07
Feb 28,21,italy,deaths,2020,2,28,71,2020-02-28,3.481574001700931e-07
Feb 29,29,italy,deaths,2020,2,29,72,2020-02-29,4.80788790711081e-07
Mar 01,41,italy,deaths,2020,3,1,73,2020-03-01,6.797358765225627e-07
Mar 02,52,italy,deaths,2020,3,2,74,2020-03-02,8.621040385164211e-07
Mar 03,79,italy,deaths,2020,3,3,75,2020-03-03,1.309734981592255e-06
Mar 04,107,italy,deaths,2020,3,4,76,2020-03-04,1.7739448484857125e-06
Mar 05,148,italy,deaths,2020,3,5,77,2020-03-05,2.4536807250082753e-06
Mar 06,197,italy,deaths,2020,3,6,78,2020-03-06,3.266047992071826e-06
Mar 07,233,italy,deaths,2020,3,7,79,2020-03-07,3.862889249506272e-06
Mar 08,366,italy,deaths,2020,3,8,80,2020-03-08,6.067886117250194e-06
Mar 09,463,italy,deaths,2020,3,9,81,2020-03-09,7.676041727559673e-06
Mar 10,631,italy,deaths,2020,3,10,82,2020-03-10,1.0461300928920417e-05
Mar 11,827,italy,deaths,2020,3,11,83,2020-03-11,1.371076999717462e-05
Mar 12,1016,italy,deaths,2020,3,12,84,2020-03-12,1.6844186598705458e-05
Mar 13,1266,italy,deaths,2020,3,13,85,2020-03-13,2.098891755311133e-05
Mar 14,1441,italy,deaths,2020,3,14,86,2020-03-14,2.3890229221195437e-05
Mar 15,1809,italy,deaths,2020,3,15,87,2020-03-15,2.999127318608088e-05
Mar 16,2158,italy,deaths,2020,3,16,88,2020-03-16,3.5777317598431475e-05
Mar 17,2503,italy,deaths,2020,3,17,89,2020-03-17,4.149704631551158e-05
Mar 18,2978,italy,deaths,2020,3,18,90,2020-03-18,4.937203512888273e-05
Mar 19,3405,italy,deaths,2020,3,19,91,2020-03-19,5.645123559900796e-05
